dataset_id,dataset,n_samples,n_features,n_classes,method,ACC_percent,ARI_percent,NMI_percent,valid,source
D7,PAMAP2,18716,128,7,KCC,72.01,56.50,62.06,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,ECPCS-HC,52.38,34.85,57.23,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,SDGCA,,,,NO,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,RANGE,74.78,61.36,66.60,YES,ICASSP2027_Table2
D7,PAMAP2,18716,128,7,BEGF (Ours),69.73,58.58,67.71,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,Base clusterings (avg.),27.58,14.31,37.15,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,CSPA,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,HGPA,20.57,9.74,28.07,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,MCLA,27.56,14.13,36.79,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,EAC,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,KCC,25.10,12.00,34.74,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,ECPCS-HC,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,SDGCA,,,,NO,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,RANGE,26.76,14.16,36.56,YES,ICASSP2027_Table2
D8,EMNIST-Balanced,131600,784,47,BEGF (Ours),27.17,14.28,37.06,YES,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,Base clusterings (avg.),35.69,19.46,37.18,YES,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,CSPA,,,,NO,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,HGPA,24.41,12.31,26.04,YES,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,MCLA,35.71,19.38,37.01,YES,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,EAC,,,,NO,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,KCC,35.82,19.16,36.86,YES,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,ECPCS-HC,,,,NO,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,SDGCA,,,,NO,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,RANGE,35.76,19.35,36.99,YES,ICASSP2027_Table2
D9,EMNIST-Letters,145600,784,26,BEGF (Ours),35.79,19.57,37.07,YES,ICASSP2027_Table2
D10,Walking,149332,4,22,Base clusterings (avg.),22.28,9.59,25.91,YES,ICASSP2027_Table2
D10,Walking,149332,4,22,CSPA,,,,NO,ICASSP2027_Table2
D10,Walking,149332,4,22,HGPA,5.51,-0.01,0.00,YES,ICASSP2027_Table2
D10,Walking,149332,4,22,MCLA,21.66,9.32,25.94,YES,ICASSP2027_Table2
D10,Walking,149332,4,22,EAC,,,,NO,ICASSP2027_Table2
D10,Walking,149332,4,22,KCC,21.54,8.34,23.72,YES,ICASSP2027_Table2
D10,Walking,149332,4,22,ECPCS-HC,,,,NO,ICASSP2027_Table2
D10,Walking,149332,4,22,SDGCA,,,,NO,ICASSP2027_Table2
D10,Walking,149332,4,22,RANGE,22.89,9.88,25.65,YES,ICASSP2027_Table2
D10,Walking,149332,4,22,BEGF (Ours),22.47,9.58,26.00,YES,ICASSP2027_Table2
