dataset_id,dataset,w_lo,w_mid,w_hi,source
D4,Communities,0.73671634790283957,0.82093562928119246,0.95083583450445952,ICASSP2027_Figure1
D1,Yale,0.83086307640395429,0.87328067374602547,0.93496717907772087,ICASSP2027_Figure1
D2,ProteinFold,0.73997897746553321,0.74033600596146842,0.74067193160646794,ICASSP2027_Figure1
